State,Period,Coronavirus,COVID,Toilet Paper,Taste Loss,Hand Sanitizer,Fever,Zoom,Bats,Quarantine,Pandemic,Face Mask,Coronavirus Testing,Cough,Restaurants,Lockdown
Georgia,2,61,65,46,72,64,77,41,63,26,43,61,73,91,81,48
Georgia,3,38,32,36,13,50,66,50,62,21,41,17,27,67,91,37
Hawaii,0,100,90,26,27,87,76,70,72,100,85,100,53,90,98,82
Hawaii,1,84,81,51,14,100,70,62,61,100,93,100,57,80,77,74
Hawaii,2,74,67,100,17,100,66,67,46,100,46,84,29,60,44,48
Hawaii,3,68,57,52,19,100,64,75,49,100,82,43,20,46,76,49
Idaho,0,57,24,49,23,36,66,77,56,39,54,34,0,82,58,34
Idaho,1,97,73,78,20,64,69,55,85,69,71,40,56,75,63,54
Idaho,2,90,75,58,35,44,67,45,86,28,24,68,41,82,61,32
Idaho,3,86,59,79,60,43,65,56,57,28,42,0,37,75,57,36
Illinois,0,60,23,51,10,44,80,53,71,37,48,40,9,84,86,57
